frame,yaw,pitch,roll
546,-0.597772,-0.014771,0.0
547,-0.594074,-0.003898,0.0
548,-0.589526,0.014893,0.0
549,-0.583585,0.047324,0.0
550,-0.573451,0.090699,0.0
551,-0.563754,0.125355,0.0
552,-0.554716,0.153785,0.0
553,-0.544289,0.179916,0.0
554,-0.534602,0.203303,0.0
555,-0.527091,0.221061,0.0
556,-0.520457,0.238582,0.0
557,-0.513623,0.254045,0.0
558,-0.509102,0.261293,0.0
559,-0.507167,0.261296,0.0
560,-0.505786,0.263702,0.0
561,-0.503755,0.271331,0.0
562,-0.501792,0.278905,0.0
563,-0.498949,0.287148,0.0
564,-0.496403,0.294748,0.0
565,-0.493647,0.302114,0.0
566,-0.491669,0.305871,0.0
567,-0.491035,0.304775,0.0
568,-0.491289,0.303647,0.0
569,-0.491338,0.302454,0.0
570,-0.491246,0.30224,0.0
571,-0.490727,0.303384,0.0
572,-0.489057,0.304676,0.0
573,-0.486254,0.305666,0.0
574,-0.483405,0.306385,0.0
575,-0.481487,0.306391,0.0
576,-0.480096,0.306708,0.0
577,-0.4779,0.308772,0.0
578,-0.475683,0.311931,0.0
579,-0.472794,0.315467,0.0
580,-0.470219,0.31792,0.0
581,-0.467717,0.319726,0.0
582,-0.463269,0.323124,0.0
583,-0.457283,0.328907,0.0
584,-0.450762,0.335334,0.0
585,-0.443791,0.342484,0.0
586,-0.436473,0.351109,0.0
587,-0.427458,0.36221,0.0
588,-0.418543,0.372522,0.0
589,-0.410035,0.381778,0.0
590,-0.402847,0.391194,0.0
591,-0.396493,0.400212,0.0
592,-0.392032,0.407166,0.0
593,-0.388946,0.412688,0.0
594,-0.385472,0.419595,0.0
595,-0.381744,0.427056,0.0
596,-0.377944,0.433355,0.0
597,-0.372838,0.438971,0.0
598,-0.36944,0.442439,0.0
599,-0.364057,0.446944,0.0
600,-0.3571,0.451187,0.0
601,-0.350284,0.455381,0.0
602,-0.348548,0.457997,0.0
603,-0.348631,0.462849,0.0
604,-0.346978,0.4671,0.0
605,-0.340556,0.470238,0.0
606,-0.331616,0.471574,0.0
607,-0.324556,0.471283,0.0
608,-0.318287,0.472921,0.0
609,-0.31295,0.475231,0.0
610,-0.306762,0.477706,0.0
611,-0.297516,0.480704,0.0
612,-0.288767,0.48185,0.0
613,-0.275989,0.482562,0.0
614,-0.263423,0.484275,0.0
615,-0.249768,0.486821,0.0
616,-0.236035,0.489133,0.0
617,-0.220608,0.491164,0.0
618,-0.202419,0.491466,0.0
619,-0.184412,0.492181,0.0
620,-0.160114,0.490689,0.0
621,-0.129588,0.485622,0.0
622,-0.091099,0.478718,0.0
623,-0.045139,0.470281,0.0
624,0.005516,0.460054,0.0
625,0.064601,0.454591,0.0
626,0.117704,0.452917,0.0
627,0.160725,0.448162,0.0
628,0.201015,0.444591,0.0
629,0.244061,0.442686,0.0
630,0.284923,0.443253,0.0
631,0.320001,0.443441,0.0
632,0.353568,0.442719,0.0
633,0.377058,0.441694,0.0
634,0.392962,0.440555,0.0
635,0.405567,0.442222,0.0
636,0.417917,0.446028,0.0
637,0.430467,0.450037,0.0
638,0.441874,0.450443,0.0
639,0.454056,0.448659,0.0
